Date,Equal Weight (1/N),Buy-and-Hold SPY,Vanilla PPO,PPO + DeepAR + TPG,MacroHRL (Ours)
2024-01-16,115477.6658363009,126607.89335604453,112712.68932999572,110075.0281772729,116252.57475123607
2024-01-17,114456.58639030876,125904.12087880042,111708.09218768976,109134.2247915439,115356.10224522375
2024-01-18,114968.80918900673,127023.75436356461,112256.30437588439,109747.60394448576,116131.54047082819
2024-01-19,115902.55777836361,128607.2591104858,113132.6839107183,110680.38289415547,117301.77005326698
2024-01-22,115998.14973246153,128879.17271970483,113195.19254858242,110741.58588615073,117425.47215003677
2024-01-23,116010.46755812563,129255.05991736488,113212.47672369164,110838.10396409518,117548.64417197455
2024-01-24,115959.66443486618,129396.34795271588,113148.9606690209,110893.76679689107,117658.47826512235
2024-01-25,116565.06062562576,130100.12876652094,113732.1223614435,111386.91055511335,118187.94377030453
2024-01-26,116444.99786234436,129934.84810869292,113611.70325416174,111210.6378808403,117983.05019166498
2024-01-29,117200.35435757827,130963.8465025711,114324.5817054389,111942.84067133926,118818.18489753242
2024-01-30,116952.51200749991,130862.55728676305,114098.03050949144,111645.37121400812,118493.89149887249
2024-01-31,116225.93282732295,128727.22222287083,113418.25632820513,110641.37628837886,117303.90054810316
2024-02-01,117653.49993123637,130412.01618560005,114808.22266732015,111932.8736604908,118703.72877027765
2024-02-02,117185.86769606337,131784.92272925022,114319.57163840157,111818.9479598168,118878.72693174932
2024-02-05,116302.12420337781,131305.07027971017,113453.58709269771,111161.91230023115,118211.91975129826
2024-02-06,117201.6229143265,131686.29287639217,114311.13410044792,111722.9847280351,118801.74410625912
2024-02-07,117414.18743839185,132784.60143819035,114527.77033382695,112115.28678390423,119299.00628890416
2024-02-08,117354.23936711949,132843.25748118834,114428.34270420401,112064.70231357958,119286.44221301896
2024-02-09,117664.05241182177,133611.00472733047,114740.11824609654,112507.28877280523,119808.5123931645
2024-02-12,117690.6289013417,133552.35702089345,114766.67201055671,112471.63367820643,119738.99678302927
2024-02-13,115879.33703618319,131712.9448618192,112960.03761280545,110742.56070190147,117948.50522479851
2024-02-14,116773.67736221073,132909.89994959734,113805.59210612258,111684.14098886221,118956.62360749653
2024-02-15,117717.72495250536,133826.94666618446,114728.88554982966,112488.9568354133,119782.6739684474
2024-02-16,117377.31949633737,133160.49697241138,114365.11213607299,112158.578953986,119317.05871621259
2024-02-20,117373.61431413572,132427.39647366828,114356.90566978873,112106.79966958553,119102.94713229276
2024-02-21,117317.01585269599,132547.35124949232,114286.81940021594,112070.67847797678,119013.25613185372
2024-02-22,118540.4189630101,135290.4799641597,115410.09540403953,113317.12592361453,120736.92229417953
2024-02-23,118803.57242214028,135383.78275455668,115648.73976572092,113483.27224949513,120861.18516968618
2024-02-26,118366.21129419925,134887.94078107263,115224.63072160158,113079.80114938566,120486.56322758095
2024-02-27,118415.53125756823,135138.5127942037,115255.09143201914,113160.68162791073,120610.6131804413
2024-02-28,118306.1518505832,134959.91864850363,115080.81820141668,112842.12123641024,120363.26618385295
2024-02-29,118864.70164163513,135445.10649706566,115613.18640901493,113325.46635829232,120945.80494947032
2024-03-01,120160.57389580732,136716.69047866386,116853.63088218952,114585.7742300375,122285.98485823479
2024-03-04,120338.1436245501,136570.06704429086,117014.74807253183,114697.74588533762,122315.22726235884
2024-03-05,119867.27534363235,135205.16359917368,116524.40920084249,114119.0850518476,121470.47962705797
